company_rating,model_rating,bought_at,months_used,issues_rating,resale_value,output
2,5,11892,3,5,5586,0
3,2,19421,6,3,6138,0
2,3,6362,0,3,4205,1
2,3,7157,8,2.5,3348,1
4,3,18571,4,2,8867,1
3,3,13335,18,2.5,4250,1
3,2,13392,22,0,3799,0
4,3.5,17389,12,3,10460,1
3,3,13095,8,1,8212,1
2,2,9163,17,3.5,2739,0
5,2,34796,10,2,16911,0
2,2,11727,15,3,4948,1
5,4,32038,2,2,23228,1
3,2,13555,17,0,4321,1
3,3,17623,26,1,3659,1
3,4,13412,2,0,6255,0
4,3.5,19439,7,2,10393,0
2,5,8233,6,3.5,3551,0
4,3,16513,11,1,8203,0
3,2,19032,17,0,5389,0
3,2,29662,29,2,1336,0
2,3,10016,3,1,6872,1
4,3,18820,16,2,10034,1
2,2,9060,10,5,3279,1
3,4,12133,3,2.5,5923,0
2,2,11831,7,0,8172,1
3,3,26883,27,1,4312,0
5,3.5,20267,18,1,7497,0
3,4,22689,13,0,10989,0
3,5,19194,2,3,13544,1
2,2,9149,4,3,5469,1
4,3.5,21153,18,0,11177,1
3,4,13528,14,0,5743,1
2,5,11554,10,2.5,5402,0
3,4,13302,20,2.5,4540,1
5,3.5,54366,25,2,13627,0
4,3,19502,8,1,9254,0
2,3,6911,10,4.5,1847,1
5,4,24474,8,0,16240,1
3,3,11568,18,1,5217,1
3,2,13742,22,2.5,3722,1
4,4,16115,17,3,11309,1
2,2,10759,6,4.5,5218,1
2,3,8335,12,2.5,3442,1
3,2,11635,2,3,6430,0
4,3,22946,19,0,11426,1
5,3,20876,19,1,6621,0
3,3,9364,21,3,3010,1
2,5,7604,9,2.5,3171,1
5,5,15778,17,0,7708,1
5,4,43595,21,2,13361,0
5,3.5,16547,16,0,7445,1
4,3.5,18419,0,3,9721,0
2,2,10405,4,2.5,6387,1
5,3.5,24286,25,0,3293,0
4,3.5,18056,2,2.5,9314,0
5,2,34996,22,2,8315,0
4,3.5,17432,2,1,8731,0
3,2,12257,15,3,3733,1
3,2,12178,22,0,3677,1
3,3,15661,7,4,6813,0
4,3.5,17290,11,2,9868,1
2,3,7699,5,4.5,3295,0
5,4,35287,27,0,5664,0
2,2,6130,3,3,3546,1
4,3.5,20574,5,0,9918,0
3,4,13688,18,3,4744,1
5,4,50562,28,0,9891,0
5,3.5,33348,17,1,12139,0
3,5,9766,14,3,9194,1
5,3,38895,2,2,24594,1
3,2,26020,6,2,7377,0
2,5,9486,6,1,5510,1
2,2,6863,4,0,5297,1
4,4,19085,14,2.5,12041,1
2,5,10549,8,5,3844,0
5,3.5,20171,24,1,3150,0
4,3.5,22772,18,0,11878,1
5,3,38395,2,1,23771,0
2,5,10587,15,2.5,3814,1
4,3.5,19627,7,2,10817,1
3,2,13656,2,2,7405,0
3,4,15531,24,1,6510,1
2,2,7240,3,3.5,4194,1
5,2,39147,22,1,9064,0
2,3,10807,10,2.5,5138,1
3,4,21130,24,1,6907,0
2,2,7333,2,3,4527,1
3,5,12348,14,2,10571,1
2,2,10473,4,5,5061,0
4,3.5,21868,9,0,10710,0
5,2,30061,23,1,5575,0
4,3.5,19730,4,2.5,10606,0
5,3.5,41532,13,2,17862,0
4,3,15073,7,3,8166,1
2,5,10112,9,1,5501,1
3,5,29337,24,3.5,8007,0
5,5,18934,29,2,958,0
3,3,27236,27,1,4373,0
3,4,13062,18,1,5152,1
3,3,13804,28,0,4228,1
3,4,12916,7,1,5457,0
2,2,6413,17,0,3019,1
3,4,24667,17,0,9798,0
3,4,12701,26,3,4368,1
3,3,29304,16,3,6503,0
3,2,13821,4,2.5,4671,0
3,3,13832,11,0,5352,0
3,4,27341,19,2,8215,0
3,3,12214,0,3,5198,0
4,4,21745,8,1,11839,0
4,4,16241,2,2,9484,0
2,2,6576,13,2.5,2377,1
3,2,11429,6,3.5,4997,0
3,4,22241,27,4,3986,0
2,2,9048,11,0,5631,1
4,3.5,16798,3,2.5,9105,0
3,3,22157,19,3.5,4349,0
4,4,18308,15,0,10764,1
2,3,6508,2,3,3916,1
5,3.5,38196,5,1,22290,0
4,4,15989,3,2.5,9870,1
3,3,12693,22,2.5,3921,1
4,3,19077,8,2.5,9934,1
2,3,8208,11,4.5,2618,1
2,2,6472,13,3,2276,1
3,4,13407,5,0,6095,0
4,3,15258,9,2.5,8192,1
5,2,46263,19,0,13159,0
3,2,25554,22,1,3573,0
4,3,20811,7,1,9565,0
3,2,7605,10,3,3526,1
5,2,38608,5,2,21332,0
5,4,36060,12,0,17119,0
3,2,11502,22,1,1972,1
4,4,15952,17,2.5,11274,1
3,5,8032,4,3.5,11474,1
4,3.5,20697,20,2,12471,1
3,2,12629,21,1,3646,1
5,4,42179,22,2,12264,0
5,2,31851,25,0,4689,0
2,5,6262,14,3,1188,1
2,2,8912,8,2.5,5083,1
3,3,13515,20,1,4745,1
5,5,44899,4,2,26770,0
3,2,18575,15,1,4568,0
3,5,24183,17,2,10462,0
3,4,13059,13,1,5444,1
4,3.5,20227,14,2.5,11933,1
3,2,8797,0,3.5,6465,1
5,3.5,20183,8,1,14577,1
5,3.5,22328,9,2,14836,1
3,4,13327,21,0,4962,1
3,4,13247,24,0,4794,1
5,5,29270,24,1,7564,0
5,4,26309,4,2,20082,1
3,3,11323,7,2,7900,1
2,3,9104,4,1,6215,1
3,4,12600,29,0,4433,1
3,4,14675,25,3,4350,1
2,2,11298,8,5,4853,0
2,3,6932,3,1,5093,1
2,3,8330,13,3.5,2565,1
3,4,12886,20,1,7343,1
3,3,28913,17,1,7419,0
4,3,15635,15,2,8623,1
3,2,27796,26,1,2464,0
5,3,44146,18,1,14712,0
5,2,47700,21,2,12986,0
3,2,10652,13,0,5421,1
3,4,8237,1,4,10178,1
3,4,13822,18,2.5,5133,1
3,4,12645,27,3,4412,1
4,3.5,17469,12,1,9936,1
3,4,12902,5,3,5628,0
4,3.5,22541,9,2,12102,1
5,4,22482,29,1,730,0
4,3.5,15539,17,1,9305,1
3,3,12884,8,2.5,4934,0
5,5,36345,26,0,7939,0
3,4,13644,29,2.5,4146,1
2,3,11879,7,5,5297,0
2,3,7829,1,2.5,4955,1
2,3,10174,18,5,2186,1
4,3,15649,14,3,9275,1
5,2,33187,26,1,4571,0
2,3,7936,13,3.5,2604,1
4,3.5,16206,18,0,9361,1
2,3,11117,3,2.5,6832,1
3,4,13078,19,0,5325,1
3,3,12598,27,0,4049,1
2,2,10244,15,1,5186,1
5,3,42748,9,0,19970,0
2,5,11806,17,0,5493,1
3,4,11106,5,3.5,9350,1
2,3,9077,3,4.5,4950,0
2,2,8413,12,1,4463,1
3,4,20416,20,2,7152,0
5,2,42131,7,2,21177,0
2,3,11397,7,1,7167,1
5,3.5,54296,3,0,28277,0
2,3,7167,15,3,1811,1
2,3,11465,0,3.5,6799,0
4,3,19061,7,3,9859,0
3,2,13728,2,0,5269,0
5,2,54881,14,1,19695,0
3,5,16383,14,3.5,9688,1
5,3.5,19739,4,2,17432,1
3,3,13059,17,1,4376,1
5,4,22291,28,0,1044,0
3,2,12443,21,2.5,3455,1
2,2,8320,11,0,5180,1
3,2,13769,18,0,4453,1
4,3.5,15379,7,0,7974,1
4,4,21262,16,1,12642,1
5,4,52714,8,0,24737,0
2,5,10805,18,5,2301,0
5,5,27841,25,2,6402,0
4,3.5,22856,19,2.5,13423,1
3,2,12642,10,0,4246,0
5,5,50845,4,2,28814,0
2,3,8700,20,4.5,1347,1
5,5,49643,11,1,22993,0
4,3,19567,7,0,8785,0
5,2,50341,2,0,26418,0
3,4,12760,16,3,4933,1
3,4,12618,2,0,6123,0
3,4,13126,7,3,5373,0
3,3,13589,6,2.5,5257,0
2,2,8447,15,0,4492,1
2,5,11135,15,4.5,3185,0
2,3,10392,4,3,5602,0
2,2,7495,15,1,3464,1
3,3,16249,19,0,6571,1
3,2,27305,6,3,6937,0
2,5,11245,18,4.5,2990,0
3,3,7791,13,2,5656,1
4,3.5,15375,19,0,8842,1
2,5,9693,15,3,3142,1
2,5,7495,15,5,596,0
3,5,22565,26,1,8514,1
3,2,12309,22,1,3526,1
4,4,18255,11,2,11109,1
4,3.5,20641,4,3,11058,0
3,3,13038,29,0,4099,1
3,5,25480,8,3,12678,0
4,3,19235,0,2.5,9331,0
5,4,31718,2,1,22883,1
4,4,18023,11,2.5,11568,1
3,5,27416,29,1,8094,0
4,3.5,21927,17,2,12577,1
3,4,12395,0,2.5,5958,0
4,3,15565,13,3,9270,1
5,2,45438,19,1,13467,0
2,2,9959,14,1,5067,1
3,4,12548,29,0,4409,1
4,3,18492,11,2.5,9948,1
2,2,10311,7,1,6617,1
3,2,12579,23,1,3650,1
4,3.5,19275,5,3,10713,0
2,5,10440,1,4.5,5054,0
4,3,19652,2,0,8311,0
5,3.5,25093,5,0,17994,1
3,3,9760,8,3.5,6403,1
5,2,36074,12,1,15354,0
2,2,6970,12,3.5,2586,1
3,5,28100,6,2,13941,0
5,2,27753,21,1,6265,0
2,3,7914,16,1,3068,1
3,4,21516,22,3.5,5609,0
3,3,19728,20,3,4431,0
3,3,29226,23,1,5687,0
3,2,13291,20,3,3504,1
3,2,29572,15,3.5,4086,0
5,4,46060,19,2,15781,0
2,5,8466,19,3.5,1279,1
4,3.5,21223,9,1,11177,0
3,2,12672,0,1,4834,0
5,3,36250,8,0,18898,0
5,3.5,27884,28,1,2700,0
2,5,10900,4,2.5,5928,0
3,2,13474,19,0,4063,1
2,5,7791,12,4.5,1471,0
5,3.5,19361,26,2,1898,0
2,3,7915,3,3.5,4138,0
3,2,8242,24,2,646,1
3,3,12632,20,1,4198,1
2,5,9652,14,3.5,2833,0
4,3.5,19809,14,0,10171,1
5,5,54185,17,2,20533,0
3,4,13927,3,3,5683,0
5,2,25924,16,2,9146,0
3,2,12870,21,3,3477,1
5,3.5,18286,15,0,8381,1
3,4,25865,28,4,4120,0
2,5,8583,15,5,1374,0
3,4,19301,19,4,5831,0
3,4,13476,7,0,5996,0
3,3,12176,0,0,5566,0
4,3,20001,8,1,9498,0
3,5,22991,23,1,9502,1
3,2,11558,11,2,4598,1
2,2,10473,5,5,5193,1
3,3,13610,1,3,5141,0
5,3.5,52443,24,2,13461,0
3,2,27880,29,0,2523,0
5,4,34923,12,0,16399,0
4,3.5,17079,19,2,10732,1
4,3.5,21483,0,2.5,10752,0
3,5,20571,3,0,15713,1
5,5,46238,8,0,23940,0
5,3,39697,5,1,22527,0
4,3,15019,10,2,8176,1
3,2,12022,9,1,4380,0
4,3.5,16599,1,0,7790,0
3,4,24916,22,4,5768,0
3,2,12111,21,2.5,3472,1
5,3.5,53349,5,0,26530,0
3,3,13539,16,1,4673,1
4,4,17901,17,1,11332,1
5,4,42385,13,2,18779,0
2,2,11710,12,3,5713,1
4,3,17115,19,2,9883,1
3,4,12143,1,1,6070,0
5,3,31133,25,2,5918,0
4,3,16323,16,1,8766,1
3,4,13287,24,0,4716,1
3,4,14531,18,0,8582,1
3,3,21473,1,3,9607,0
5,5,25106,10,2,16328,1
3,3,13069,28,2.5,3708,1
5,5,16841,14,0,10383,1
3,3,12217,7,3,4586,0
4,4,22481,13,0,12253,1
3,2,12326,7,3,4368,0
3,4,12962,15,3,4894,1
3,5,25027,24,1,9498,0
3,2,24688,2,3,7424,0
4,4,18373,19,0,11163,1
4,3,17124,5,2.5,8936,0
3,5,21212,10,3.5,10940,0
3,3,21965,25,3.5,2603,0
3,4,18396,22,3,5478,0
2,2,10462,10,1,6272,1
2,5,9756,7,0,5782,1
4,3,21085,17,2.5,11712,1
5,3,21021,3,0,17513,1
4,3.5,22357,11,2,12237,1
3,2,12481,4,0,4694,0
4,4,16572,10,1,9711,1
5,3,38100,7,0,19856,0
5,4,25748,27,1,3155,0
4,4,15333,19,2,10624,1
4,3,21456,8,0,9707,0
3,2,13144,7,0,4779,0
3,2,23945,24,3.5,838,0
2,5,7068,6,3,3156,0
5,3,41529,16,0,15087,0
4,4,15376,5,0,8260,0
3,5,28694,28,1,8575,0
3,4,15750,16,0,9489,1
3,2,22907,19,3.5,2454,0
3,4,13309,9,2.5,5175,0
3,2,13133,9,0,4676,0
4,4,21930,19,2,13727,1
3,3,13670,7,1,5252,0
4,4,22681,5,2,12791,0
5,5,27525,26,2,5646,0
4,4,19704,3,2,11041,0
3,4,12059,11,1,5216,1
5,4,45338,1,0,27256,0
5,5,44965,16,2,18501,0
5,5,32602,24,1,8308,0
3,3,12045,17,2.5,4242,1
5,4,25721,20,0,7806,0
3,2,12348,17,0,4156,1
5,2,19541,11,2,11246,1
2,2,7378,9,1,4455,1
4,4,18663,7,3,11372,1
3,2,26998,12,4,4575,0
3,5,9846,14,2,10177,1
3,2,12021,25,0,3520,1
3,4,12883,11,1,5776,1
2,5,7158,9,3.5,2326,0
4,3.5,15536,20,0,9078,1
3,4,13230,27,0,4963,1
5,5,44051,4,0,26077,0
3,5,14654,17,2,9656,1
3,3,12608,28,3,3499,1
5,3,23687,16,1,9610,0
3,4,18051,6,1,11653,1
3,4,12371,14,0,5700,1
3,2,14355,19,3,1717,0
2,2,7599,16,3.5,1876,1
3,2,12426,11,1,4240,0
3,3,13320,26,1,3848,1
4,3.5,21748,5,2,11393,0
2,2,9077,2,2.5,5854,1
3,5,12274,27,4,5333,1
5,3,51907,0,1,29857,0
4,3,18522,5,2,9081,0
3,3,13297,29,3,3455,1
3,5,10521,25,3,6192,1
5,3.5,18364,12,2,11696,1
5,5,22910,7,0,16990,1
2,3,6120,19,1,1944,1
5,3,35956,3,0,22113,0
5,4,33401,1,0,23509,1
2,2,9263,18,0,4523,1
3,2,12104,19,0,3886,1
3,2,13865,25,2.5,3482,1
3,2,15580,26,2,583,0
3,2,11782,10,3.5,3760,0
4,3.5,15861,14,2.5,10010,1
3,4,9083,29,0,4942,1
3,4,12382,28,1,4283,1
5,4,53510,14,2,21351,0
3,4,12603,9,2.5,5195,0
3,4,9887,16,3,6649,1
4,4,19083,1,3,11198,0
5,3,32512,5,1,20104,1
2,5,9698,5,1,5927,1
3,3,13577,22,3,4184,1
2,3,7768,5,1,5354,1
2,5,8678,6,1,4749,1
5,4,16096,24,0,1899,0
2,2,10909,7,3.5,5249,1
3,5,18523,4,3.5,12438,1
4,4,22282,15,2,13365,1
3,4,11065,0,4,10448,1
5,5,19475,16,1,9869,1
3,4,10063,5,2,10192,1
3,3,8660,4,4,7166,1
5,4,28806,7,0,18048,1
5,5,22748,13,2,14051,1
3,5,23639,15,0,12567,1
4,4,15421,18,1,10257,1
3,2,12692,28,0,3669,1
4,3.5,21567,20,2,12503,1
5,3.5,26562,29,0,1013,0
5,2,49952,14,1,18173,0
3,4,12241,26,2.5,4342,1
2,3,10782,5,1,6828,1
5,3,42483,2,1,25469,0
4,3.5,17795,15,2,10207,1
2,2,6527,2,2.5,4320,1
5,2,52926,13,0,19257,0
5,4,32722,24,1,7758,0
2,5,9789,2,4.5,4741,0
5,3,43864,27,2,8466,0
4,3,19749,4,0,8641,0
3,4,28237,26,2,6323,0
2,3,8842,13,4.5,2248,0
5,2,23914,20,1,6022,0
4,4,21489,4,1,11394,0
2,3,10150,13,1,4989,1
2,3,6100,17,0,2729,1
3,2,21619,2,0,9527,0
3,2,12279,0,0,4875,0
4,3.5,17858,15,2,10615,1
2,2,9457,15,3.5,3100,1
4,3,19311,13,0,8994,1
5,4,51556,12,0,21662,0
3,3,13885,27,3,3959,1
3,4,12001,14,2.5,5189,1
5,2,28201,7,1,16492,1
3,5,17789,1,3,13697,1
3,3,26964,19,3.5,4909,0
5,3.5,36696,9,0,18695,0
4,3.5,20207,7,0,9863,0
4,3.5,17306,20,2.5,11138,1
3,4,12745,14,2.5,5122,1
5,5,30626,4,2,22402,1
2,3,9634,20,0,4168,1
4,4,22987,0,2.5,12379,0
3,2,12436,18,2.5,3740,1
5,5,26210,27,1,4625,0
4,3.5,22086,9,2.5,12007,1
5,2,49462,25,2,10868,0
4,4,19875,14,1,11659,1
2,3,11752,3,4.5,6299,0
4,4,21285,10,1,11912,1
3,4,12575,4,0,5729,0
4,4,22441,19,1,13554,1
3,3,13622,12,1,4847,0
2,5,11704,15,4.5,3396,0
4,3,19814,7,1,9381,0
2,2,10299,11,2.5,5302,1
3,2,12534,7,2.5,4237,0
3,3,13932,8,2.5,4967,0
4,4,22296,9,2,12881,1
3,2,13679,16,3,3716,0
3,3,9011,25,2,2731,1
3,2,13309,6,2.5,4655,0
5,3.5,26413,4,2,19816,1
3,4,12085,22,1,4571,1
3,2,12761,2,0,5051,0
3,4,18720,16,2,8098,0
3,4,15588,6,2,10428,1
5,3.5,49028,12,2,20921,0
3,5,24691,18,3.5,9260,0
4,3.5,17967,7,0,8981,0
4,4,20844,16,2,12915,1
3,3,12058,24,3,3931,1
4,3.5,15371,16,3,9848,1
3,2,12495,27,1,3165,1
3,3,13080,25,2.5,3620,1
3,3,12537,24,0,4298,1
3,4,12295,4,2.5,5475,0
2,2,10465,16,2.5,4489,1
3,4,12540,6,0,5759,0
3,2,26207,12,2,5817,0
2,2,10913,9,1,6863,1
3,3,12933,3,1,5160,0
4,4,20545,2,2.5,11455,0
5,2,51096,15,2,18262,0
4,3,17355,20,1,9679,1
4,3.5,17391,2,3,9278,0
4,3,17057,16,2.5,9493,1
4,3.5,16243,13,3,10459,1
3,3,12468,26,2.5,3728,1
3,3,11458,25,3,2001,1
4,3,17147,7,1,8273,0
